,Timestamp,Anon,"On a scale from 1 to 10, how do you estimate your programming experience? ","On a scale from 1 to 10, how do you estimate your programming experience compared to your class mates?","On a scale from 1 to 5, how experienced are you with the following programming paradigm: object-oriented?","Rounded to the closest integer, for how many years have you been programming?",What kind of computing device did you use to complete this study? ,Do you have experience in professional software development?,Do you have experience with code refactoring in a professional environment?,Do you have experience with code reviews in a professional environment?,Do you have professional experience providing reviews on others' code through GitHub?,Do you have professional experience receiving feedback from others on your code through GitHub?,"For how many tasks, approximately, did you consult the following resources? [Google search]","For how many tasks, approximately, did you consult the following resources? [Q&A forums (e.g., StackOverflow)]","For how many tasks, approximately, did you consult the following resources? [Generative AI (e.g. ChatGPT)]","For how many tasks, approximately, did you consult the following resources? [Official documentation for APIs]","For how many tasks, approximately, did you consult the following resources? [IDEs (or similar)]",What was difficult about performing the code review in this study?,What was easy about performing the code review in this study?,What would have helped you perform the code review in this study more effectively?,What type of student are you?,What is your major?,"What is/are your minor(s), if any? ",What is your gender identity? (select all that apply)
11,4/22/2024 9:07:04,ncsu77,6,9,5,7,Laptop,"Yes, self-employed",No,No,No,No,none,none,a few,none,a few,There were a specific things that I wanted to test based on Java specific behaviors.,"It was provided though a medium that I knew and have used before and therefore felt comfortable with, so I could provide accurate information for myself.","If I could see whole files, then I could get context for what was being changed. Some functions were hidden, so I could only assume that the code was being changed. For all I know, it would have done nothing. But since I couldn't see those functions, I had no way of knowing.",Full-time,Computer Science with concentration in Artificial Intelligence,none,Male
12,4/22/2024 9:07:49,ncsu54,6,6,4,9,Laptop,"Yes, as an internship or co-op",Yes,No,No,Yes,none,none,none,none,none,Determining if the code performed the same functionality. Some of the code looked drastically different but seemed to still perform the same.,Spotting major differences that stood out like a sore thumb.,"If I was able to easily test the changes. For example, unit tests that I could see passing or failing. Maybe a GitHub actions to show the changes.",Full-time,Computer Science,,Male
13,4/22/2024 9:08:03,ncsu123,7,5,5,4,Laptop,No,No,No,Yes,Yes,none,none,about half,none,none,The limited context I was given with some of the changes.,Using split review in order to see the differences in the changes.,More context on the methods that were being changed.,Full-time,Computer Science,,Male
14,4/22/2024 9:08:09,ncsu28,7,6,4,3,Laptop,"Yes, as an internship or co-op",No,No,No,No,all,all,most,a few,a few,Inexperience with code that was written and not seeing the full code in the PR.,Some code changes were minimal so they were easy to review.,More time to review and possibly consulting with the people who wrote the code. ,Full-time,Computer Science,,Male
15,4/22/2024 9:09:11,ncsu36,6,5,4,4,Laptop,No,No,No,No,No,none,none,a few,none,none,to understand the entire context of the class and behavior. It's not just the changes made.,I get access to the entire source code.,"specify the requirements/expectations when it comes to code review. I wasn't inform about the quality of the comments such as: should I explain the changes that change the behavior completely or not, etc..",Full-time,CSC,,Male
16,4/22/2024 9:09:27,ncsu72,6,5,2,3,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,No,none,none,none,none,none,Unfamiliar with code base (i.e. did not know what the code was trying to achieve),Easy (I think?) to tell when different math operations led to different behavior.,GenAI,Full-time,Computer Science,,Male
17,4/22/2024 9:09:49,ncsu56,8,8,4,8,Laptop,"Yes, as an internship or co-op, Yes, I contribute to open-source software",Yes,No,Yes,Yes,none,none,none,none,none,"Some of the changes were bad for other reasons (style, performance, readability) that made it hard to check for correctness.",GitHub's diff view is great for diffs with small # of consecutive line changes (i.e. not rewriting a whole function),Unit tests to show that the behavior has or has not changed,Full-time,Computer Science,Mathematics,Male
18,4/22/2024 9:09:58,ncsu7,8,8,5,8,Laptop,No,No,No,Yes,Yes,a few,none,none,none,a few,Understanding the code was somewhat complicated at times as I had to look at completely different code jumping all over the place without knowing exactly what it was intended to do.,It was easy to map through some of the changes on the smaller files.,Having an explanation of what the code was intended to do without having to infer it.,Full-time,Computer Science,,Male
19,4/22/2024 9:10:02,ncsu95,7,5,5,5,Laptop,No,No,No,Yes,Yes,none,none,most,none,none,Just having to think about it this early in the morning,The way GitHub provides the changes for you,nothing,Full-time,Computer science,none,Male
20,4/22/2024 9:10:16,ncsu81,6,6,4,3,Laptop,No,No,No,Yes,Yes,none,none,none,none,none,"Trying to figure out what code changes. Some code changes seem redundant and very long, but it may not change the functionality.","I was already familiar with how PRs work, including leaving comments and approving changes, so I wasn't very afraid of making mistakes (although I did accidentally say approve changes one time when I meant to say request changes).",Leaving comments in the code (as a programmer) would be helpful.,Full-time,Computer Science,Film Studies,Male
21,4/22/2024 9:10:56,ncsu99,1,3,3,3,Laptop,"Yes, as an internship or co-op",No,Yes,No,Yes,a few,none,none,none,none,Needed to go back and look at the entire file everytime to understand the review. Was not provided enough information from github in the split view to be able to know if the change was good or not. ,Submitting the Change request and submitting the merges.,The whole file being displayed so that I can see an overall view of the change. ,Full-time,Computer Science,,Male
22,4/22/2024 9:12:09,ncsu13,6,5,4,3,Both Laptop and Tablet,No,No,No,No,No,none,none,none,none,none,Doing a run through of the code when it involved various amount of math or recursion.,Some Boolean conditionals where just negations or combining conditionals together.,Having a peer help me review it with me.,Full-time,Computer Science,,Male
23,4/22/2024 9:12:32,ncsu35,8,8,4,5,Laptop,No,Yes,Yes,Yes,Yes,none,none,none,none,none,some of them had a lot of code to review,some pull requests hardly changed any code and it was simple to review,If there was less code to review in some of them,Full-time,Computer Science,,Male
24,4/22/2024 9:13:09,ncsu112,6,5,4,4,Laptop,No,No,No,No,No,none,none,a few,none,none,Some of the wording could be better ,"The functions themselves were really easy, so it was easy to understand changes. In large codebases, I can imagine this being harder ",Collapsable functionality in the github files changed area ,Full-time,Computer Science,,Male
25,4/22/2024 9:13:22,ncsu37,10,8,4,6,Laptop,No,No,No,Yes,Yes,none,none,a few,none,none,not knowing what the files were for as well as not knowing the purpose of some of the variables. ,seeing if the new conditions were added or not which would result in modified behavior.,"I believe enough details were provided to us in order to facilitate the study. Additionally, we were allowed to use online resources for syntax help as well as knowing the behavior of the code. ",Full-time,Computer Science,,Male
26,4/22/2024 9:13:32,ncsu45,7,7,5,5,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,Yes,none,none,a few,none,none,Calculating if any of the math in the code review had the same output. ,I felt confident in reading the files and being able to spot the differences. ,This code review might have been more effective at a different time of day where I was not so sleepy. ,Full-time,Computer Science,"Business Administration, Business Entrepreneurship",Female
27,4/22/2024 9:13:56,ncsu29,5,4,3,3,Phone / Mobile,No,No,No,No,No,none,none,none,none,none,Doing it in my phone and the GitHub UI is a bit tougher to parse compared to the eclipse ui to check differences when committing,Some issues were easy to find and check,The ability to let generative ai check functionality for me,Full-time,Computer science,,Male
28,4/22/2024 9:14:13,ncsu18,4,5,3,6,Laptop,No,No,No,No,No,none,none,none,none,none,Lack of documentation and general lack of familiarity with the code meant spending more time attempting to understand the flow of the code,The reviews were (mostly) only a couple of lines of code,Not sure,Full-time,CSC,,Male
29,4/22/2024 9:15:01,ncsu48,7,5,4,5,Laptop,No,No,No,No,No,none,none,a few,none,none,The difficult part was going through what was being deleted and added in the Files Changed section of the Merge Review and coming up with a definitive answer of whether or not the code behavior has changed. ,The easy part was knowing that the code behavior was ultimately changed if the return value was being altered i.e. if a + 10 was added to the return value and it wasn't there before.,"In the future, going through the code line-by-line before and after the changes and making sure that the logic and return values are the same would have helped me in this study.",Full-time,Computer Science,Biological Sciences,Male
30,4/22/2024 9:15:01,ncsu44,5,8,4,4,Laptop,No,No,No,No,No,none,none,none,none,none,"I wasn't entirely sure what constituted a change to the behavior. If additional computations and operations had to be performed, I wasn't certain if that was a change.","Some changes were clearly changing the behavior. If a different value was returned for example, that was clearly a change. If conditions for an if statement were moved into variables, and then the if statement was called with those variables, that was clearly not a change.",If I knew more about what constituted a change in behavior.,Full-time,"Computer Science, Applied Mathematics",,Male
31,4/22/2024 9:15:25,ncsu102,8,5,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,I was not sure about some of the math functions and the recursion. It would have been helpful to have some background information. ,Some of the changes were obvious such as changing the return value from 0 to a variable which would have been 0. ,"If I was a developer working on the program, it would have been a lot easier to understand what was happening with the changes. I did not understand some of the return values and variables. ",Full-time,Computer Science,,Female
32,4/22/2024 9:16:04,ncsu98,8,8,4,3,Laptop,No,No,No,No,No,none,none,a few,none,none,The difficult was knowing what counts as refactoring and what doesn't count. ,The easy thing was there was some instances that was easy to identify. ,"Honestly, I don't think I needed anything to help me code review. ",Full-time,Computer Science,Global Health and Forensic Science,Male
33,4/22/2024 9:17:36,ncsu76,5,5,3,3,Laptop,No,No,No,No,No,about half,a few,a few,none,none,Not being familiar with the code base and having the knowledge of the surrounding code when I am looking at a review and a piece of code that is taken out of context. ,Some of the logic was simple math that was easier to dissect without having to look at the surrounding code. ,If I was more familiar with the code and had experience running the code and making changes to in on my local machine. Seeing changes to the functionality as I am changing the code would have helped.,Part-time,CSC,Statistics,Male
34,4/22/2024 9:18:06,ncsu50,5,7,4,3,Laptop,"Yes, as an internship or co-op",Yes,Yes,Yes,Yes,none,none,a few,none,none,The most difficult part is to understand what the code does. Having to look at fresh code without idea of what it does can provide hardships when doing a code review to ensure the code has the same functionality. ,The interface that github provides is quite convenient and makes it easy to conduct code review.,If I understood each file on a more in-depth layer and provide better code review.,Full-time,Computer Science,Mathematics,Male
35,4/22/2024 9:18:13,ncsu82,8,6,4,4,Laptop,"Yes, as an internship or co-op",No,No,No,No,a few,a few,a few,none,none,Some of the code I had difficulty understanding.,Some of the PRs were quite easy and straight forward,If I had another monitor.,Full-time,Computer Science,none,Male
36,4/22/2024 9:18:44,ncsu111,6,8,3,2,Laptop,No,No,No,No,No,a few,none,none,none,none,The last code with a ton of changes was hard to look through.,Seeing the changes was easy for the most part except for that giant file.,Knowing what each java file did beforehand like a summary given by the developer.,Full-time,Computer Science,,Male
37,4/22/2024 9:19:00,ncsu90,8,7,5,5,Laptop,No,No,No,No,No,none,a few,about half,none,none,"The limited time, as well as many different code topics needed to be reviewed, if they all followed the same code goal, as if they were all apart of the same project it would have been more formatted and easier to determine.",Being able to quickly notice certain refactors of code in which are just changing the actual writing of the code and not the functionality.,"Being able to test the code on a running machine, to see if multiple test values produce the same output or not.",Full-time,Computer Science,Economics,Male
38,4/22/2024 9:19:09,ncsu22,6,8,4,5,Laptop,No,No,No,No,No,none,none,a few,none,none,Remembering refactoring.,Using github to view the file changes.,A quick review on refactoring.,Full-time,Computer Science,none,Male
39,4/22/2024 9:20:08,ncsu71,7,5,3,7,Laptop,"Yes, as an internship or co-op",Yes,No,No,No,a few,a few,a few,none,none,Understanding the logic of the code in such a small context and without debugging it in an IDE. ,"Once the logic was understood, explaining what needs to be changed and being able to either request changes or merge the changes was easy. ",Being able to discuss with others or with the author of the code would helped me more. ,Full-time,Computer Science,,Female
40,4/22/2024 9:20:39,ncsu120,5,8,4,5,Laptop,No,No,No,No,No,a few,none,a few,none,none,Recursion is hard to run through the steps in my head,Pull request titles and color highlights in the lines changed,More comments throughout the code,Full-time,Computer Science,,Male
41,4/22/2024 9:20:54,ncsu110,6,5,3,3,Laptop,No,No,No,No,No,none,none,most,none,none,Not having access to the full code and functionality. ,The highlighting of changed code in the github files changes. ,Having access to the full code to see functionality. ,Full-time,Computer Science,Business and Data Science,Female
42,4/22/2024 9:22:11,ncsu24,7,9,5,6,Laptop,No,No,No,No,No,none,none,none,none,none,The TCAS was difficult to parse through to understand functionality. Not many comments/documentation throughout made it difficult.,The GitHub tools to view changes in parallel. ,Proper documentation on methods (code comments).,Full-time,Applied Mathematics and Computer Science,,Male
43,4/22/2024 9:22:21,ncsu97,3,4,4,3,Laptop,No,Yes,Yes,Yes,Yes,none,none,a few,none,none,No most of the code changes were minimal and easy to read.,Using GitHub. GitHub is something I am familiar with so using it is easy.,A summary of what the intended purpose of the programs was.,Full-time,Computer Science,,Male
44,4/22/2024 9:22:29,ncsu11,7,7,4,4,Laptop,No,No,No,No,No,none,none,a few,none,none,"Having to review code that I had no context for. Although I did have access to the original entire code files that were being reviewed, having to trace code for something you have no context for can be a little difficult.",Spotting logical/behavioral differences,"If I had more context for the methods that were being reviewed. However, this was not at all necessary.",Full-time,Computer Science & French,,Non-binary
45,4/22/2024 9:22:41,ncsu49,8,8,5,5,Laptop,"Yes, as full-time employment, Yes, as an internship or co-op, Yes, I contribute to open-source software, Yes, self-employed",Yes,Yes,No,No,none,none,all,none,none,A few files were long and complex to fully read through and get an understanding right away. Some were straight forward.,Easily looking at changed code in GitHub is a pleasant experience.,"I think this flow of code review is easy to follow! Never did it this way before, and I approve of this newly learned flow.",Full-time,Computer Science,Japanese and Music,Male
46,4/22/2024 9:22:55,ncsu0,7,6,4,4,Laptop,No,No,Yes,Yes,No,none,none,about half,none,none,Some changes were long and difficult to understand what the changes were doing,Some changes were just simple arithmetic and logical changes which was easy to fix,looking with other people,Full-time,Computer Science,Mathematics,Male
47,4/22/2024 9:25:18,ncsu113,10,10,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,The context of the code was unknown,The code was easy to understand,having context of the code,Full-time,Computer Science,,Male
48,4/22/2024 9:25:42,ncsu92,7,7,5,6,Laptop,No,No,No,No,No,none,none,none,none,none,"It was difficult when a lot of variables were used at once. There was one PR that had a method taking in 13 parameters. I understood they were trying to draw out the code to separate private functions, but it was hard to make sure that no behavioral changes were made. ",Using the split method to view the code side by side,Maybe allowing for us to zoom out on the code because with the larger PRs it was hard to scroll up and down to make sure there was proper refactoring when similar code was now in different places. ,Full-time,"Computer Science, International Studies",Economics,Female
49,4/22/2024 9:26:04,ncsu86,6,10,5,9,Laptop,No,No,No,No,No,none,none,a few,none,none,I didnt know what the code was SUPPOSED to do,some of them were one line and super basic.,"Having comments for what the code does, or what the parameters are supposed to be",Full-time,COMPSCI,NONE!,"Male, Female, Non-binary, Prefer not to disclose"
50,4/22/2024 9:28:42,ncsu114,8,7,5,9,Laptop,No,No,No,No,No,none,none,about half,none,none,There were no comments provided in the code to direct our understanding of the intended functionality.,GitHub clearly highlights where changes were made,Comments in the code,Full-time,Computer Science and Finance double major,Spanish,Female
51,4/22/2024 9:28:46,ncsu78,6,5,4,3,Laptop,No,Yes,Yes,Yes,Yes,a few,none,a few,a few,none,One of them was 200 lines long and I should've used an IDE for that one but I didn't think I'd have time for that.,The short methods where I could trace it in my head were nice.,A better and faster IDE than the one I currently use so I could more reliably use it in situations like this.,Full-time,Computer Science,,Male
52,4/22/2024 9:29:31,ncsu12,7,6,4,6,Laptop,No,No,No,No,No,none,a few,a few,none,none,"Some of the portions of code were rather unorganized and hard to follow, namely the TCAS.java file, this one was especially hard to follow and trace. ","Some of the statements that were simple modifications to conditionals were pretty easy to evaluate and understand, for instance where I was able to easily understand what the methods were doing and when i could apply mathematical rules to conditions","If the code were a little well more documented. For instance, providing a description of what each parameter in a function does would have made the review process easier",Full-time,Computer Science,Creative Writing,Male
53,4/22/2024 9:29:55,ncsu107,4,5,4,4,Laptop,No,No,No,No,No,a few,none,a few,none,none,"Some of the review included changes that looked very small but could change the behavior, so I would have to check to make sure the code didn't significantly alter anything","Sometimes the changes were very obvious, such as changing the inequality operator, as that would change the way the if/else statements would run",Reviewing with another person to compare thoughts and check each other's thinking,Full-time,"Computer Science, B.S.","Mathematics, Cognitive Sciences",Female
54,4/22/2024 9:30:16,ncsu61,6,7,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,"Evaluating the results of functions, especially recursive ones, were more difficult without actually running the code. In addition, the longer more dense sections of code made it difficult to keep track of parameters and compare between versions.",The ability to change views in Github and have changes highlighted in red and green made it much easier to tell what exactly had changed between versions.,"Having the ability to focus on just a specific scope or block of code may have made it easier - sometimes it was difficult to tell where code was placed based on indentation alone, especially when longer sections of code were in different places between versions.",Full-time,Computer Science,,Male
55,4/22/2024 9:30:17,ncsu4,4,3,3,3,Laptop,No,No,No,No,No,a few,none,a few,none,none,Reading code in unfamiliar classes ,the code was not hard to follow ,Documentation on the classes and methods ,Full-time,Computer Science,,Female
56,4/22/2024 9:31:46,ncsu26,8,8,5,6,Laptop,No,No,No,No,No,none,a few,a few,a few,none,The most difficult part was determining what the functions were supposed to do. Performing intense math for some was also challenging. Inputs were not given so it was also hard to determine outputs given arbitrary numbers.,I think it was easy to find differences in codes that did not have intense math. ,Documentation on any of the code would have helped. Knowing inputs would help too.,Full-time,Computer Science,,Male
57,4/22/2024 9:32:33,ncsu23,7,6,4,3,Laptop,No,No,No,Yes,Yes,none,none,most,none,none,It was tough to not get overwhelmed when seeing many changes to many methods in one change.,"It was easy to make a comment and accept merges, and closing requests.",It would have helped me to understand the purpose of a method instead of just seeing the functions within it.,Full-time,Computer Science,,Male
58,4/22/2024 9:33:16,ncsu104,8,8,4,5,Laptop,No,No,No,No,No,none,none,none,none,none,Not having context to what the code was doing.,Having the split view on GitHub to see the changes clearly.,"Knowing context, having good documentation and how the files interact with each other.",Full-time,Computer Science,French minor.,Male
59,4/22/2024 9:36:24,ncsu100,9,7,4,9,Laptop,No,No,No,Yes,Yes,none,none,most,none,none,"Some of the changes seemed unnecessary. If there was justification/comments around the change, it would help to determine how to evaluate its effect.",GitHub is nice with its highlighting.,Comments/unit test results,Full-time,"Computer Science, Statistics",,Male
60,4/22/2024 9:37:43,ncsu19,4,8,2,3,Laptop,No,No,No,No,No,none,none,none,a few,none,"The TCAS one that took functions of several variables was hard, the if-else trees were hard to parse.","the recursive function wasn't that bad (embarrassing if I got it wrong) because I like recursion. Functions where a value was ""deceptively"" changed were pretty easy.",I would have liked some guarantee that everything is syntactically valid. a = -a and the colon after the semicolon threw me for a loop and I had to check in my ide.,Full-time,Computer Science,Mathematics,Male
61,4/22/2024 9:38:25,ncsu27,5,3,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,trying to figure what the entire the code was doing,well written code,having some comments in the code,Full-time,Computer science ,,Male
62,4/22/2024 9:38:55,ncsu38,5,5,3,3,Laptop,No,No,No,No,No,about half,about half,most,about half,a few,I didn't see all parts of the code,UI on GitHub is clear to show 2 pieces of code,It looks good enough,Full-time,Computer science,,Male
63,4/22/2024 9:39:53,ncsu57,7,7,5,5,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,No,none,none,none,none,none,"I didn't realize it was open to resources so I was trying to perform code reviews by hand. This may have lead to mixed results, as I could have tried writing tests for this program instead of trying to do it by hand.",Following the process of the code reviews was easy based on previous GitHub processes in this class.,I should have written tests or consulted external resources when doing the code reviews.,Full-time,Computer Science,"Japan Studies, Business Administration",Male
64,4/22/2024 9:39:58,ncsu32,7,4,3,9,Laptop,No,No,No,No,No,a few,none,most,none,a few,"It's hard not really being in the loop about what the code is supposed to be for, and it's easier when you can talk with the person and ask them about what they're trying to achieve.",Some of the code was easier to tell that there were no significant changes present.,Perhaps if I was able to easily run the different methods on my laptop with different variables.,Full-time,Computer Science,French,Female
65,4/22/2024 9:41:09,ncsu119,7,8,4,3,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,a few,none,none,Understanding what the code's intent was.,Identifying what was altered between the code.,Understanding the intent or objective behind each code or pull request.,Full-time,Computer Science,none,Male
66,4/22/2024 9:44:12,ncsu53,7,5,3,3,Laptop,No,No,No,No,No,none,none,a few,none,none,Sometimes it was hard to scroll between the two codes to find the differences especially the one with all the conditions.,Most of the code review was straight forward with direct differences making it very easy ,"I think having more experience with general coding and being faster and finding the differences, but it was pretty easy ",Full-time,Computer Science,"Math, Statistics, Music Studies ",Female
67,4/22/2024 15:25:00,ncsu87,7,9,4,5,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,Yes,none,none,none,none,none,Seconding guessing myself,The logic changes was not heavy at all,Not sure,Full-time,Computer Science & Statistics,,Male
68,4/22/2024 15:25:03,ncsu117,7,5,4,3,Laptop,"Yes, as an internship or co-op",No,No,Yes,No,none,none,none,none,none,Understanding the original behavior of the code with no comments.,Some actions clearly changed the behavior.,Comments on what the code was supposed to be doing.,Full-time,Computer Science,,Prefer not to disclose
69,4/22/2024 15:25:37,ncsu62,6,6,3,3,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,all,none,none,nothing,using generative ai,access to chatgpt4 turbo,Full-time,computer science,"english, business",Female
70,4/22/2024 15:27:29,ncsu8,7,5,5,4,Laptop,No,Yes,No,No,No,none,none,none,none,none,Understanding whether changes that involved large blocks of text maintained equivalent functions. ,Picking out changes in logic for shorter snippets,"If changes that were related were put side by side, with more spacing between lines",Full-time,Computer Science,,Male
71,4/22/2024 15:27:40,ncsu41,8,7,4,5,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,Yes,a few,none,none,a few,none,To focus on the stuff and hand and actually understand what it is doing.,some of the easier pull requests with simple code was easy to walk through in my head. ,smaller code changes and code comments.,Full-time,Computer Science,,Female
72,4/22/2024 15:27:49,ncsu51,8,8,4,6,Laptop,No,No,No,No,No,a few,a few,a few,none,none,"I thought that it was very relaxing, and wasn't necessarily difficult.",I think that the way it was explained when the class started made it very easy to perform the review.,I think I performed as effectively as I wanted. Perhaps if I took more time I could have been more in depth.,Full-time,Computer Science,None.,Male
73,4/22/2024 15:29:08,ncsu25,9,8,5,10,Laptop,"Yes, as an internship or co-op, Yes, I contribute to open-source software",Yes,Yes,Yes,Yes,none,none,a few,none,none,"If changes were more extensive, it was harder to detect modifications to code behavior",Smaller changes were fairly easy to parse for modifications. AI made larger changes easier to parse trough.,If I could run the code locally to test it myself.,Full-time,Computer Science,,Male
74,4/22/2024 15:29:17,ncsu21,7,7,3,5,Laptop,"Yes, as an internship or co-op",No,Yes,No,Yes,none,none,none,none,none,The code was confusing at times,Some of the PR's had fairly simple code,If I had more time to look things up,Full-time,Computer Science,Cognitive Science,Male
75,4/22/2024 15:29:21,ncsu84,9,9,5,4,Laptop,No,No,No,No,No,a few,none,a few,none,none,Sometimes there was so much code that needed to be reviewed it seemed as a jumble of code,Some were easy to identify a value change,Less jumbled code/shorter method parameters,Full-time,Computer Science,,Male
76,4/22/2024 15:30:57,ncsu55,6,7,4,5,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,a few,none,none,When there were a lot of changes it was tough to track through all of them.,It was easy when it was obvious that the code changes changed the functionality of the code. ,If I knew how to use more outside resources. ,Full-time,Computer Science,,Female
77,4/22/2024 15:31:19,ncsu31,7,5,4,3,Laptop,No,No,No,No,No,none,none,a few,about half,none,Figuring out what the code was supposed to do.,It was clear what code was changed thanks to GitHub.,More information about what the code is supposed to do.,Full-time,Computer Science,Business Administration,Male
78,4/22/2024 15:32:33,ncsu93,10,10,5,3,Laptop,No,Yes,Yes,Yes,Yes,about half,about half,about half,about half,about half,Not really difficult.,Reviewing the green and red lines.,More quiet.,Full-time,Comp Sci,,Male
79,4/22/2024 15:32:37,ncsu83,9,10,5,7,Laptop,"Yes, I contribute to open-source software, Yes, self-employed",Yes,Yes,No,No,none,none,none,none,a few,"Reading all of the undocumented code, and having to manually figure out what the code was doing.","Variable names and methods were easy to figure out the meaning of, because of intention based naming.",More documentation on the code and in code comments.,Full-time,Computer Science,Business Administration,Male
80,4/22/2024 15:33:26,ncsu105,9,8,4,4,,"Yes, self-employed, No",No,No,No,No,about half,a few,most,none,none,Understanding what the code was doing and whether or not they affected the outcome of the code itself,Clicking merge and approve or not approving and closing.,Having a better understanding of each code before being assigned to complete this research.,Full-time,Computer Science,,Male
